Wavelength (nm),Sum(calc),Cu I (8.6e-2),Cu II (9.1e-1)
204.691,5.717e+1,2.113e-10,5.717e+1
204.696,3.379e+2,2.112e-10,3.379e+2
204.701,1.773e+3,2.112e-10,1.773e+3
204.707,1.107e+4,2.112e-10,1.107e+4
204.712,4.468e+4,2.111e-10,4.468e+4
204.717,1.600e+5,2.111e-10,1.600e+5
204.722,5.088e+5,2.111e-10,5.088e+5
204.727,1.436e+6,2.110e-10,1.436e+6
204.732,3.597e+6,2.110e-10,3.597e+6
204.737,7.996e+6,2.110e-10,7.996e+6
204.742,1.578e+7,2.109e-10,1.578e+7
204.747,2.764e+7,2.109e-10,2.764e+7
204.752,4.296e+7,2.109e-10,4.296e+7
204.757,5.928e+7,2.108e-10,5.928e+7
204.762,7.260e+7,2.108e-10,7.260e+7
204.767,7.892e+7,2.108e-10,7.892e+7
204.772,7.615e+7,2.107e-10,7.615e+7
204.777,6.521e+7,2.107e-10,6.521e+7
204.782,4.957e+7,2.107e-10,4.957e+7
204.787,3.345e+7,2.106e-10,3.345e+7
204.792,2.003e+7,2.106e-10,2.003e+7
204.797,1.065e+7,2.106e-10,1.065e+7
204.802,5.022e+6,2.105e-10,5.022e+6
204.807,2.103e+6,2.105e-10,2.103e+6
204.812,7.816e+5,2.105e-10,7.816e+5
204.817,2.579e+5,2.104e-10,2.579e+5
204.822,7.550e+4,2.104e-10,7.550e+4
204.827,1.962e+4,2.104e-10,1.962e+4
204.832,4.526e+3,2.103e-10,4.526e+3
204.837,9.268e+2,2.103e-10,9.268e+2
204.842,1.684e+2,2.103e-10,1.684e+2
204.847,2.717e+1,2.102e-10,2.717e+1
204.852,3.889e+0,2.102e-10,3.889e+0
204.857,4.943e-1,2.102e-10,4.943e-1
204.862,5.575e-2,2.101e-10,5.575e-2
204.867,5.581e-3,2.101e-10,5.581e-3
204.872,4.959e-4,2.101e-10,4.959e-4
204.877,3.911e-5,2.100e-10,3.911e-5
204.882,2.738e-6,2.100e-10,2.738e-6
204.887,1.701e-7,2.100e-10,1.701e-7
204.892,9.383e-9,2.099e-10,9.383e-9
204.897,4.593e-10,2.099e-10,4.593e-10
204.902,1.996e-11,2.099e-10,1.996e-11
204.907,7.696e-13,2.098e-10,7.696e-13
205.284,5.799e-13,2.073e-10,5.799e-13
205.289,1.544e-11,2.073e-10,1.544e-11
205.294,3.653e-10,2.073e-10,3.653e-10
205.299,7.675e-9,2.072e-10,7.675e-9
205.304,1.432e-7,2.072e-10,1.432e-7
205.309,2.375e-6,2.072e-10,2.375e-6
205.314,3.497e-5,2.071e-10,3.497e-5
205.319,4.575e-4,2.071e-10,4.575e-4
205.324,5.316e-3,2.071e-10,5.316e-3
205.329,5.487e-2,2.070e-10,5.487e-2
205.334,5.030e-1,2.070e-10,5.030e-1
205.339,4.097e+0,2.070e-10,4.097e+0
205.344,2.965e+1,2.069e-10,2.965e+1
205.349,1.906e+2,2.069e-10,1.906e+2
205.354,1.088e+3,2.069e-10,1.088e+3
205.359,5.523e+3,2.068e-10,5.523e+3
205.364,2.491e+4,2.068e-10,2.491e+4
205.369,9.984e+4,2.068e-10,9.984e+4
205.374,3.559e+5,2.067e-10,3.559e+5
205.379,1.129e+6,2.067e-10,1.129e+6
205.384,3.188e+6,2.067e-10,3.188e+6
205.389,8.025e+6,2.066e-10,8.025e+6
205.394,1.804e+7,2.066e-10,1.804e+7
205.399,3.629e+7,2.066e-10,3.629e+7
205.404,6.555e+7,2.065e-10,6.555e+7
205.409,1.067e+8,2.065e-10,1.067e+8
205.414,1.575e+8,2.065e-10,1.575e+8
205.419,2.120e+8,2.064e-10,2.120e+8
205.424,2.619e+8,2.064e-10,2.619e+8
205.429,2.988e+8,2.064e-10,2.988e+8
205.434,3.177e+8,2.063e-10,3.177e+8
205.439,3.228e+8,2.063e-10,3.228e+8
205.444,3.408e+8,2.063e-10,3.408e+8
205.449,4.528e+8,2.062e-10,4.528e+8
205.454,8.544e+8,2.062e-10,8.544e+8
205.459,1.948e+9,2.062e-10,1.948e+9
205.464,4.422e+9,2.061e-10,4.422e+9
205.469,9.216e+9,2.061e-10,9.216e+9
205.475,1.923e+10,2.061e-10,1.923e+10
205.480,3.123e+10,2.060e-10,3.123e+10
205.485,4.507e+10,2.060e-10,4.507e+10
