Wavelength (nm),Sum,Pb I (4.4e-02),Pb II (9.5e-01)
405.906,8.512e+5,8.512e+5,
405.911,3.924e+5,3.924e+5,
405.916,1.755e+5,1.755e+5,
405.921,7.614e+4,7.614e+4,
405.926,3.204e+4,3.204e+4,
405.931,1.308e+4,1.308e+4,
405.936,5.182e+3,5.182e+3,
405.941,1.991e+3,1.991e+3,
405.946,7.421e+2,7.421e+2,
405.951,2.683e+2,2.683e+2,
405.956,9.412e+1,9.412e+1,
405.961,3.203e+1,3.203e+1,
405.966,1.057e+1,1.057e+1,
405.971,3.386e+0,3.386e+0,
405.976,1.052e+0,1.052e+0,
405.981,3.170e-1,3.170e-1,
405.987,7.227e-2,7.227e-2,
405.992,2.067e-2,2.067e-2,
405.997,6.783e-3,6.783e-3,
406.002,5.946e-3,5.946e-3,
406.007,1.629e-2,1.629e-2,
406.012,5.504e-2,5.504e-2,
406.017,1.841e-1,1.841e-1,
406.022,5.983e-1,5.983e-1,
406.027,1.887e+0,1.887e+0,
406.032,5.771e+0,5.771e+0,
406.037,1.713e+1,1.713e+1,
406.042,4.931e+1,4.931e+1,
406.047,1.377e+2,1.377e+2,
406.052,3.733e+2,3.733e+2,
406.057,9.814e+2,9.814e+2,
406.062,2.503e+3,2.503e+3,
406.067,6.194e+3,6.194e+3,
406.072,1.487e+4,1.487e+4,
406.077,3.463e+4,3.463e+4,
406.082,7.824e+4,7.824e+4,
406.087,1.715e+5,1.715e+5,
406.092,3.647e+5,3.647e+5,
406.097,7.524e+5,7.524e+5,
406.102,1.506e+6,1.506e+6,
406.107,2.924e+6,2.924e+6,
406.112,5.508e+6,5.508e+6,
406.117,1.007e+7,1.007e+7,
406.122,1.785e+7,1.785e+7,
406.127,3.070e+7,3.070e+7,
406.132,5.124e+7,5.124e+7,
406.137,8.295e+7,8.295e+7,
406.142,1.303e+8,1.303e+8,
406.147,1.985e+8,1.985e+8,
406.152,2.935e+8,2.935e+8,
406.157,4.209e+8,4.209e+8,
406.162,5.856e+8,5.856e+8,
406.167,7.905e+8,7.905e+8,
406.172,1.035e+9,1.035e+9,
406.177,1.315e+9,1.315e+9,
406.182,1.621e+9,1.621e+9,
406.187,1.938e+9,1.938e+9,
406.192,2.249e+9,2.249e+9,
406.197,2.531e+9,2.531e+9,
406.202,2.763e+9,2.763e+9,
406.207,2.927e+9,2.927e+9,
406.212,3.008e+9,3.008e+9,
406.217,2.999e+9,2.999e+9,
406.222,2.900e+9,2.900e+9,
406.227,2.722e+9,2.722e+9,
406.232,2.478e+9,2.478e+9,
406.237,2.188e+9,2.188e+9,
406.242,1.875e+9,1.875e+9,
406.247,1.558e+9,1.558e+9,
406.252,1.257e+9,1.257e+9,
406.257,9.832e+8,9.832e+8,
406.262,7.463e+8,7.463e+8,
406.267,5.495e+8,5.495e+8,
406.272,3.926e+8,3.926e+8,
406.277,2.721e+8,2.721e+8,
406.282,1.829e+8,1.829e+8,
406.287,1.193e+8,1.193e+8,
406.292,7.551e+7,7.551e+7,
406.297,4.636e+7,4.636e+7,
406.302,2.761e+7,2.761e+7,
406.307,1.596e+7,1.596e+7,
