Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
223.687,2.670e-2,,,2.670e-2
223.692,1.502e-1,,,1.502e-1
223.697,7.648e-1,,,7.648e-1
223.702,3.524e+0,,,3.524e+0
223.707,1.469e+1,,,1.469e+1
223.712,5.544e+1,,,5.544e+1
223.717,1.893e+2,,,1.893e+2
223.722,5.851e+2,,,5.851e+2
223.727,1.636e+3,,,1.636e+3
223.732,4.142e+3,,,4.142e+3
223.737,9.486e+3,,,9.486e+3
223.742,1.966e+4,,,1.966e+4
223.747,3.688e+4,,,3.688e+4
223.752,6.261e+4,,,6.261e+4
223.757,9.619e+4,,,9.619e+4
223.762,1.337e+5,,,1.337e+5
223.767,1.682e+5,,,1.682e+5
223.772,1.916e+5,,,1.916e+5
223.777,1.974e+5,,,1.974e+5
223.782,1.841e+5,,,1.841e+5
223.787,1.553e+5,,,1.553e+5
223.792,1.186e+5,,,1.186e+5
223.797,8.199e+4,,,8.199e+4
223.802,5.128e+4,,,5.128e+4
223.807,2.902e+4,,,2.902e+4
223.812,1.487e+4,,,1.487e+4
223.817,6.892e+3,,,6.892e+3
223.822,2.891e+3,,,2.891e+3
223.827,1.098e+3,,,1.098e+3
223.832,3.771e+2,,,3.771e+2
223.837,1.172e+2,,,1.172e+2
223.842,3.299e+1,,,3.299e+1
223.847,8.400e+0,,,8.400e+0
223.852,1.936e+0,,,1.936e+0
223.857,4.037e-1,,,4.037e-1
223.862,7.618e-2,,,7.618e-2
223.867,1.301e-2,,,1.301e-2
223.872,2.011e-3,,,2.011e-3
223.877,2.813e-4,,,2.813e-4
223.882,3.560e-5,,,3.560e-5
223.887,4.079e-6,,,4.079e-6
223.892,4.228e-7,,,4.228e-7
223.897,3.967e-8,,,3.967e-8
223.902,3.368e-9,,,3.368e-9
223.907,2.588e-10,,,2.588e-10
223.912,1.799e-11,,,1.799e-11
223.917,1.132e-12,,,1.132e-12
223.922,6.447e-14,,,6.447e-14
226.254,3.243e-11,3.243e-11,,8.367e-13
226.259,5.543e-10,5.543e-10,,8.384e-13
226.264,8.593e-9,8.593e-9,,8.400e-13
226.269,1.208e-7,1.208e-7,,8.417e-13
226.274,1.541e-6,1.541e-6,,8.433e-13
226.279,1.783e-5,1.783e-5,,8.450e-13
226.284,1.872e-4,1.872e-4,,8.467e-13
226.289,1.782e-3,1.782e-3,,8.483e-13
226.294,1.538e-2,1.538e-2,,8.500e-13
226.299,1.205e-1,1.205e-1,,8.516e-13
226.304,8.559e-1,8.559e-1,,8.533e-13
226.309,5.515e+0,5.515e+0,,8.549e-13
226.314,3.224e+1,3.224e+1,,8.566e-13
226.319,1.709e+2,1.709e+2,,8.582e-13
226.324,8.219e+2,8.219e+2,,8.599e-13
226.329,3.585e+3,3.585e+3,,8.616e-13
226.334,1.419e+4,1.419e+4,,8.632e-13
226.339,5.091e+4,5.091e+4,,8.649e-13
226.344,1.657e+5,1.657e+5,,8.665e-13
226.349,4.894e+5,4.894e+5,,8.682e-13
226.354,1.311e+6,1.311e+6,,8.698e-13
226.359,3.184e+6,3.184e+6,,8.715e-13
226.364,7.018e+6,7.018e+6,,8.731e-13
226.369,1.403e+7,1.403e+7,,8.748e-13
226.374,2.543e+7,2.543e+7,,8.765e-13
226.379,4.183e+7,4.183e+7,,8.781e-13
226.384,6.239e+7,6.239e+7,,8.798e-13
226.389,8.442e+7,8.442e+7,,8.814e-13
226.394,1.036e+8,1.036e+8,,8.831e-13
226.399,1.154e+8,1.154e+8,,8.847e-13
