Wavelength (nm),Au I (2.0e-01)
583.849,1.294e+7
583.854,9.246e+6
583.859,6.511e+6
583.864,4.518e+6
583.869,3.090e+6
583.874,2.082e+6
583.879,1.383e+6
583.884,9.047e+5
583.889,5.834e+5
583.894,3.707e+5
583.899,2.322e+5
583.904,1.433e+5
583.909,8.711e+4
583.914,5.220e+4
583.919,3.083e+4
583.924,1.794e+4
583.929,1.029e+4
583.934,5.812e+3
583.939,3.236e+3
583.944,1.776e+3
583.949,9.603e+2
583.954,5.117e+2
583.959,2.687e+2
583.964,1.390e+2
583.969,7.090e+1
583.974,3.563e+1
583.979,1.764e+1
583.984,8.608e+0
583.989,4.139e+0
583.994,1.961e+0
583.999,9.158e-1
584.004,4.214e-1
584.009,1.911e-1
584.014,8.537e-2
584.019,3.759e-2
584.024,1.631e-2
584.029,6.975e-3
584.034,2.939e-3
584.039,1.220e-3
584.044,4.993e-4
584.049,2.013e-4
584.054,7.999e-5
584.059,3.132e-5
584.064,1.209e-5
584.069,4.595e-6
584.074,1.722e-6
584.079,6.357e-7
584.084,2.313e-7
584.089,8.294e-8
