Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
209.437,2.779e+7,,2.779e+7,2.089e-22
209.442,2.139e+7,,2.139e+7,2.089e-22
209.447,1.612e+7,,1.612e+7,2.089e-22
209.452,1.343e+7,,1.343e+7,2.088e-22
209.457,1.389e+7,,1.389e+7,2.088e-22
209.462,1.703e+7,,1.703e+7,2.087e-22
209.467,2.162e+7,,2.162e+7,2.087e-22
209.472,2.603e+7,,2.603e+7,2.086e-22
209.477,2.879e+7,,2.879e+7,2.086e-22
209.482,2.923e+7,,2.923e+7,2.085e-22
209.487,2.774e+7,,2.774e+7,2.085e-22
209.492,2.547e+7,,2.547e+7,2.084e-22
209.497,2.363e+7,,2.363e+7,2.084e-22
209.502,2.276e+7,,2.276e+7,2.083e-22
209.507,2.250e+7,,2.250e+7,2.083e-22
209.512,2.192e+7,,2.192e+7,2.082e-22
209.517,2.021e+7,,2.021e+7,2.082e-22
209.522,1.714e+7,,1.714e+7,2.081e-22
209.527,1.318e+7,,1.318e+7,2.081e-22
209.532,9.105e+6,,9.105e+6,2.080e-22
209.537,5.636e+6,,5.636e+6,2.080e-22
209.542,3.120e+6,,3.120e+6,2.079e-22
209.547,1.544e+6,,1.544e+6,2.079e-22
209.552,6.821e+5,,6.821e+5,2.078e-22
209.557,2.691e+5,,2.691e+5,2.078e-22
209.562,9.483e+4,,9.483e+4,2.077e-22
209.567,2.983e+4,,2.983e+4,2.077e-22
209.572,8.378e+3,,8.378e+3,2.076e-22
209.577,2.101e+3,,2.101e+3,2.076e-22
209.582,4.702e+2,,4.702e+2,2.075e-22
209.588,6.716e+1,,6.716e+1,2.075e-22
209.593,1.171e+1,,1.171e+1,2.074e-22
209.598,1.823e+0,,1.823e+0,2.074e-22
209.603,2.532e-1,,2.532e-1,2.073e-22
209.608,3.140e-2,,3.140e-2,2.073e-22
209.613,3.475e-3,,3.475e-3,2.072e-22
209.618,3.433e-4,,3.433e-4,2.072e-22
209.623,3.027e-5,,3.027e-5,2.071e-22
209.628,2.382e-6,,2.382e-6,2.071e-22
