Wavelength (nm),Sum(calc),Ag I (7.1e-2),Ag II (9.3e-1)
214.58,4.511e+9,1.970e-7,4.511e+9
214.59,4.095e+9,1.973e-7,4.095e+9
214.61,3.001e+9,1.977e-7,3.001e+9
214.63,1.881e+9,1.981e-7,1.881e+9
214.64,1.405e+9,1.984e-7,1.405e+9
214.66,6.965e+8,1.988e-7,6.965e+8
214.68,2.955e+8,1.992e-7,2.955e+8
214.69,1.815e+8,1.995e-7,1.815e+8
214.71,6.092e+7,1.999e-7,6.092e+7
214.73,1.749e+7,2.004e-7,1.749e+7
214.74,8.838e+6,2.006e-7,8.838e+6
214.76,2.008e+6,2.010e-7,2.008e+6
214.77,9.025e+5,2.012e-7,9.025e+5
214.79,1.622e+5,2.017e-7,1.622e+5
214.81,2.495e+4,2.021e-7,2.495e+4
214.82,9.227e+3,2.023e-7,9.227e+3
214.84,1.123e+3,2.028e-7,1.123e+3
214.86,1.169e+2,2.032e-7,1.169e+2
214.87,3.557e+1,2.034e-7,3.557e+1
214.89,2.931e+0,2.039e-7,2.931e+0
214.91,2.066e-1,2.043e-7,2.066e-1
214.92,5.175e-2,2.046e-7,5.175e-2
214.94,2.888e-3,2.050e-7,2.888e-3
214.96,1.379e-4,2.054e-7,1.379e-4
214.97,2.842e-5,2.057e-7,2.842e-5
214.99,1.074e-6,2.061e-7,1.074e-6
215.01,3.472e-8,2.065e-7,3.472e-8
216.15,2.976e-8,2.318e-7,2.976e-8
216.16,1.641e-7,2.320e-7,1.641e-7
216.18,4.446e-6,2.324e-7,4.446e-6
216.20,1.034e-4,2.329e-7,1.034e-4
216.21,4.705e-4,2.331e-7,4.705e-4
216.23,8.688e-3,2.335e-7,8.688e-3
216.25,1.376e-1,2.340e-7,1.376e-1
216.26,5.171e-1,2.342e-7,5.171e-1
216.28,6.507e+0,2.347e-7,6.507e+0
216.30,7.026e+1,2.351e-7,7.026e+1
216.31,2.180e+2,2.353e-7,2.180e+2
216.33,1.870e+3,2.358e-7,1.870e+3
216.35,1.377e+4,2.362e-7,1.377e+4
216.36,3.528e+4,2.364e-7,3.528e+4
216.38,2.065e+5,2.369e-7,2.065e+5
216.40,1.038e+6,2.373e-7,1.038e+6
216.41,2.200e+6,2.375e-7,2.200e+6
216.43,8.809e+6,2.380e-7,8.809e+6
216.45,3.035e+7,2.384e-7,3.035e+7
216.46,5.326e+7,2.386e-7,5.326e+7
216.48,1.468e+8,2.391e-7,1.468e+8
216.50,3.493e+8,2.395e-7,3.493e+8
216.51,5.106e+8,2.397e-7,5.106e+8
216.53,9.813e+8,2.402e-7,9.813e+8
216.54,1.292e+9,2.404e-7,1.292e+9
216.56,2.022e+9,2.408e-7,2.022e+9
216.58,2.780e+9,2.413e-7,2.780e+9
216.59,3.110e+9,2.415e-7,3.110e+9
216.61,3.552e+9,2.420e-7,3.552e+9
216.63,3.602e+9,2.424e-7,3.602e+9
216.64,3.472e+9,2.426e-7,3.472e+9
216.66,2.955e+9,2.431e-7,2.955e+9
216.68,2.232e+9,2.435e-7,2.232e+9
216.69,1.853e+9,2.437e-7,1.853e+9
216.71,1.161e+9,2.442e-7,1.161e+9
216.73,6.386e+8,2.446e-7,6.386e+8
216.74,4.501e+8,2.448e-7,4.501e+8
216.76,2.014e+8,2.453e-7,2.014e+8
216.78,7.817e+7,2.457e-7,7.817e+7
216.79,4.612e+7,2.459e-7,4.612e+7
216.81,1.438e+7,2.464e-7,1.438e+7
216.83,3.863e+6,2.468e-7,3.863e+6
216.84,1.893e+6,2.470e-7,1.893e+6
216.86,4.086e+5,2.475e-7,4.086e+5
216.88,8.854e+4,2.479e-7,8.854e+4
216.89,5.932e+4,2.481e-7,5.932e+4
216.91,1.191e+5,2.486e-7,1.191e+5
216.93,3.900e+5,2.490e-7,3.900e+5
216.94,6.777e+5,2.493e-7,6.777e+5
216.96,1.829e+6,2.497e-7,1.829e+6
216.97,2.838e+6,2.499e-7,2.838e+6
216.99,6.093e+6,2.504e-7,6.093e+6
217.01,1.123e+7,2.508e-7,1.123e+7
