Wavelength (nm),Sum(calc),Al I (3.9e-2),Al II (7.6e-1),Al III (5.6e-4),Si I (2.2e-2),Si II (1.8e-1),Si III (1.5e-4)
205.013,1.156e-2,,6.831e-12,,,2.403e-13,1.156e-2
205.018,6.301e-3,,6.843e-12,,,2.403e-13,6.301e-3
205.023,3.049e-3,,6.855e-12,,,2.403e-13,3.049e-3
205.028,1.310e-3,,6.866e-12,,,2.404e-13,1.310e-3
205.033,4.997e-4,,6.878e-12,,,2.404e-13,4.997e-4
205.038,1.692e-4,,6.890e-12,,,2.404e-13,1.692e-4
205.043,5.088e-5,,6.902e-12,,,2.404e-13,5.088e-5
205.048,1.358e-5,,6.913e-12,,,2.405e-13,1.358e-5
205.053,3.218e-6,,6.925e-12,,,2.405e-13,3.218e-6
205.058,6.772e-7,,6.937e-12,,,2.405e-13,6.772e-7
205.063,1.265e-7,,6.949e-12,,,2.406e-13,1.265e-7
205.068,2.098e-8,,6.961e-12,,,2.406e-13,2.098e-8
205.073,3.089e-9,,6.972e-12,,,2.406e-13,3.089e-9
205.078,4.038e-10,,6.984e-12,,,2.406e-13,4.038e-10
205.083,4.686e-11,,6.996e-12,,,2.407e-13,4.686e-11
205.088,4.828e-12,,7.008e-12,,,2.407e-13,4.828e-12
205.093,4.417e-13,,7.019e-12,,,2.407e-13,4.417e-13
205.098,3.587e-14,,7.031e-12,,,2.407e-13,3.587e-14
205.103,2.586e-15,,7.043e-12,,,2.408e-13,2.586e-15
205.108,1.656e-16,,7.055e-12,,,2.408e-13,1.656e-16
205.113,9.410e-18,,7.067e-12,,,2.408e-13,9.410e-18
205.118,4.748e-19,,7.078e-12,,,2.409e-13,4.748e-19
205.677,5.893e-11,,8.395e-12,,5.893e-11,2.439e-13,3.567e-19
205.682,1.378e-9,,8.407e-12,,1.378e-9,2.439e-13,3.557e-19
205.687,2.861e-8,,8.419e-12,,2.861e-8,2.439e-13,3.546e-19
205.692,5.282e-7,,8.430e-12,,5.282e-7,2.439e-13,3.536e-19
205.697,8.664e-6,,8.442e-12,,8.664e-6,2.440e-13,3.525e-19
205.702,1.263e-4,,8.454e-12,,1.263e-4,2.440e-13,3.515e-19
205.707,1.636e-3,,8.466e-12,,1.636e-3,2.440e-13,3.504e-19
205.712,1.884e-2,,8.478e-12,,1.884e-2,2.441e-13,3.493e-19
205.717,1.927e-1,,8.489e-12,,1.927e-1,2.441e-13,3.483e-19
205.722,1.752e+0,,8.501e-12,,1.752e+0,2.441e-13,3.472e-19
205.727,1.415e+1,,8.513e-12,,1.415e+1,2.441e-13,3.462e-19
205.732,1.016e+2,,8.525e-12,,1.016e+2,2.442e-13,3.451e-19
205.737,6.483e+2,,8.536e-12,,6.483e+2,2.442e-13,3.441e-19
205.742,3.676e+3,,8.548e-12,,3.676e+3,2.442e-13,3.430e-19
205.747,1.852e+4,,8.560e-12,,1.852e+4,2.442e-13,3.419e-19
205.752,8.293e+4,,8.572e-12,,8.293e+4,2.443e-13,3.409e-19
205.757,3.300e+5,,8.584e-12,,3.300e+5,2.443e-13,3.398e-19
