Wavelength (nm),Sum(calc),Mn I (1.3e-2),Mn II (3.9e-1),Cu I (5.2e-2),Cu II (5.5e-1)
203.019,1.244e+7,,1.758e-12,4.469e-12,1.244e+7
203.024,6.537e+6,,1.761e-12,4.497e-12,6.537e+6
203.029,3.044e+6,,1.764e-12,4.526e-12,3.044e+6
203.034,1.258e+6,,1.766e-12,4.554e-12,1.258e+6
203.039,4.753e+5,,1.769e-12,4.582e-12,4.753e+5
203.044,2.250e+5,,1.772e-12,4.611e-12,2.250e+5
203.049,3.515e+5,,1.775e-12,4.639e-12,3.515e+5
203.054,1.114e+6,,1.777e-12,4.667e-12,1.114e+6
203.059,3.492e+6,,1.780e-12,4.696e-12,3.492e+6
203.064,9.777e+6,,1.783e-12,4.724e-12,9.777e+6
203.069,2.427e+7,,1.786e-12,4.753e-12,2.427e+7
203.074,5.335e+7,,1.788e-12,4.781e-12,5.335e+7
203.079,1.039e+8,,1.791e-12,4.809e-12,1.039e+8
203.084,1.793e+8,,1.794e-12,4.838e-12,1.793e+8
203.089,2.740e+8,,1.797e-12,4.866e-12,2.740e+8
203.094,3.710e+8,,1.800e-12,4.894e-12,3.710e+8
203.099,4.450e+8,,1.802e-12,4.923e-12,4.450e+8
203.104,4.728e+8,,1.805e-12,4.951e-12,4.728e+8
203.109,4.450e+8,,1.808e-12,4.979e-12,4.450e+8
203.114,3.710e+8,,1.811e-12,5.008e-12,3.710e+8
203.119,2.740e+8,,1.813e-12,5.036e-12,2.740e+8
203.124,1.793e+8,,1.816e-12,5.065e-12,1.793e+8
203.129,1.039e+8,,1.819e-12,5.093e-12,1.039e+8
203.134,5.335e+7,,1.822e-12,5.121e-12,5.335e+7
203.139,2.427e+7,,1.824e-12,5.150e-12,2.427e+7
203.144,9.776e+6,,1.827e-12,5.178e-12,9.776e+6
203.149,3.489e+6,,1.830e-12,5.206e-12,3.489e+6
203.154,1.103e+6,,1.833e-12,5.235e-12,1.103e+6
203.159,3.090e+5,,1.835e-12,5.263e-12,3.090e+5
203.164,7.666e+4,,1.838e-12,5.292e-12,7.666e+4
203.169,1.685e+4,,1.841e-12,5.320e-12,1.685e+4
203.174,3.280e+3,,1.844e-12,5.348e-12,3.280e+3
203.179,5.658e+2,,1.847e-12,5.377e-12,5.658e+2
203.184,8.644e+1,,1.849e-12,5.405e-12,8.644e+1
203.189,1.170e+1,,1.852e-12,5.433e-12,1.170e+1
203.194,1.403e+0,,1.855e-12,5.462e-12,1.403e+0
203.199,1.490e-1,,1.858e-12,5.490e-12,1.490e-1
203.204,1.402e-2,,1.860e-12,5.519e-12,1.402e-2
203.209,1.168e-3,,1.863e-12,5.547e-12,1.168e-3
203.214,8.624e-5,,1.866e-12,5.575e-12,8.624e-5
203.219,5.640e-6,,1.869e-12,5.604e-12,5.640e-6
203.224,3.268e-7,,1.871e-12,5.632e-12,3.268e-7
203.229,1.677e-8,,1.874e-12,5.660e-12,1.677e-8
203.234,7.625e-10,,1.877e-12,5.689e-12,7.625e-10
203.239,3.071e-11,,1.880e-12,5.717e-12,3.071e-11
203.244,1.096e-12,,1.882e-12,5.745e-12,1.096e-12
203.443,3.371e-11,,1.992e-12,6.875e-12,3.371e-11
203.448,9.760e-10,,1.995e-12,6.903e-12,9.760e-10
203.453,2.505e-8,,1.998e-12,6.931e-12,2.505e-8
203.458,5.698e-7,,2.001e-12,6.960e-12,5.698e-7
203.463,1.149e-5,,2.004e-12,6.988e-12,1.149e-5
203.468,2.053e-4,,2.006e-12,7.016e-12,2.053e-4
203.473,3.252e-3,,2.009e-12,7.045e-12,3.252e-3
203.478,4.566e-2,,2.012e-12,7.073e-12,4.566e-2
203.483,5.682e-1,,2.015e-12,7.101e-12,5.682e-1
203.488,6.268e+0,,2.017e-12,7.130e-12,6.268e+0
203.493,6.128e+1,,2.020e-12,7.158e-12,6.128e+1
203.498,5.311e+2,,2.023e-12,7.187e-12,5.311e+2
203.503,4.079e+3,,2.026e-12,7.215e-12,4.079e+3
203.508,2.777e+4,,2.028e-12,7.243e-12,2.777e+4
