Wavelength (nm),Sum(calc),Cr I (8.8e-1),Cr II (1.2e-1),Cr IV (1.2e-23),Cr V (9.8e-51)
247.76,5.763e+6,5.763e+6,5.311e-8,,
247.78,1.309e+7,1.309e+7,5.307e-8,,
247.80,2.643e+7,2.643e+7,5.303e-8,,
247.81,3.594e+7,3.594e+7,5.301e-8,,
247.83,6.089e+7,6.089e+7,5.297e-8,,
247.85,9.175e+7,9.175e+7,5.293e-8,,
247.86,1.078e+8,1.078e+8,5.291e-8,,
247.88,1.362e+8,1.362e+8,5.287e-8,,
247.90,1.532e+8,1.532e+8,5.283e-8,,
247.92,1.532e+8,1.532e+8,5.279e-8,,
247.93,1.466e+8,1.466e+8,5.277e-8,,
247.95,1.230e+8,1.230e+8,5.273e-8,,
247.97,9.175e+7,9.175e+7,5.268e-8,,
247.98,7.585e+7,7.585e+7,5.266e-8,,
248.00,4.747e+7,4.747e+7,5.262e-8,,
248.02,2.643e+7,2.643e+7,5.258e-8,,
248.03,1.887e+7,1.887e+7,5.256e-8,,
248.05,8.812e+6,8.812e+6,5.252e-8,,
248.07,3.660e+6,3.660e+6,5.248e-8,,
248.09,1.352e+6,1.352e+6,5.244e-8,,
248.10,7.866e+5,7.866e+5,5.242e-8,,
248.12,2.438e+5,2.438e+5,5.238e-8,,
248.14,6.720e+4,6.720e+4,5.234e-8,,
248.15,3.376e+4,3.376e+4,5.232e-8,,
248.17,7.807e+3,7.807e+3,5.228e-8,,
248.19,1.606e+3,1.606e+3,5.224e-8,,
248.20,6.969e+2,6.969e+2,5.222e-8,,
248.22,1.202e+2,1.202e+2,5.218e-8,,
248.24,1.845e+1,1.845e+1,5.214e-8,,
248.26,2.518e+0,2.518e+0,5.210e-8,,
248.27,8.904e-1,8.904e-1,5.207e-8,,
248.29,1.019e-1,1.019e-1,5.203e-8,,
248.31,1.038e-2,1.038e-2,5.199e-8,,
248.32,3.171e-3,3.171e-3,5.197e-8,,
248.34,2.709e-4,2.709e-4,5.193e-8,,
248.36,2.058e-5,2.058e-5,5.189e-8,,
248.37,5.429e-6,5.429e-6,5.187e-8,,
248.39,3.461e-7,3.461e-7,5.183e-8,,
248.41,1.962e-8,1.962e-8,5.179e-8,,
248.75,2.318e-8,2.318e-8,5.110e-8,,
248.77,4.200e-7,4.200e-7,5.106e-8,,
248.78,1.712e-6,1.712e-6,5.104e-8,,
248.80,2.608e-5,2.608e-5,5.100e-8,,
248.82,3.537e-4,3.537e-4,5.096e-8,,
248.83,1.247e-3,1.247e-3,5.094e-8,,
248.85,1.422e-2,1.422e-2,5.090e-8,,
248.87,1.444e-1,1.444e-1,5.085e-8,,
248.88,4.405e-1,4.405e-1,5.083e-8,,
248.90,3.759e+0,3.759e+0,5.079e-8,,
248.92,2.856e+1,2.856e+1,5.075e-8,,
248.94,1.933e+2,1.933e+2,5.071e-8,,
248.95,4.815e+2,4.815e+2,5.069e-8,,
248.97,2.739e+3,2.739e+3,5.065e-8,,
248.99,1.387e+4,1.387e+4,5.061e-8,,
249.00,2.989e+4,2.989e+4,5.059e-8,,
249.02,1.273e+5,1.273e+5,5.055e-8,,
249.04,4.825e+5,4.825e+5,5.051e-8,,
249.05,8.995e+5,8.995e+5,5.049e-8,,
249.07,2.866e+6,2.866e+6,5.045e-8,,
249.09,8.133e+6,8.133e+6,5.041e-8,,
249.11,2.055e+7,2.055e+7,5.037e-8,,
249.12,3.129e+7,3.129e+7,5.035e-8,,
249.14,6.645e+7,6.645e+7,5.031e-8,,
249.16,1.257e+8,1.257e+8,5.027e-8,,
249.17,1.655e+8,1.655e+8,5.024e-8,,
249.19,2.631e+8,2.631e+8,5.020e-8,,
249.21,3.725e+8,3.725e+8,5.016e-8,,
249.22,4.244e+8,4.244e+8,5.014e-8,,
249.24,5.050e+8,5.050e+8,5.010e-8,,
249.26,5.351e+8,5.351e+8,5.006e-8,,
249.28,5.051e+8,5.051e+8,5.002e-8,,
249.29,4.699e+8,4.699e+8,5.000e-8,,
249.31,3.731e+8,3.731e+8,4.996e-8,,
249.33,2.649e+8,2.649e+8,4.992e-8,,
249.34,2.147e+8,2.147e+8,4.990e-8,,
249.36,1.332e+8,1.332e+8,4.986e-8,,
249.38,8.338e+7,8.338e+7,4.982e-8,,
249.39,7.063e+7,7.063e+7,4.980e-8,,
249.41,6.702e+7,6.702e+7,4.976e-8,,
249.43,8.774e+7,8.774e+7,4.972e-8,,
249.45,1.265e+8,1.265e+8,4.968e-8,,
249.46,1.507e+8,1.507e+8,4.966e-8,,
249.48,2.062e+8,2.062e+8,4.961e-8,,
249.50,2.711e+8,2.711e+8,4.957e-8,,
249.51,3.087e+8,3.087e+8,4.955e-8,,
