Wavelength (nm),Sum(calc),Cr I (2.2e-1),Cr II (7.8e-1),Cr IV (9.5e-14),Cr V (1.7e-31)
248.14,9.125e+4,9.125e+4,2.263e-6,,
248.15,4.585e+4,4.585e+4,2.262e-6,,
248.17,1.060e+4,1.060e+4,2.260e-6,,
248.19,2.180e+3,2.180e+3,2.258e-6,,
248.20,9.463e+2,9.463e+2,2.257e-6,,
248.22,1.633e+2,1.633e+2,2.256e-6,,
248.24,2.505e+1,2.505e+1,2.254e-6,,
248.26,3.420e+0,3.420e+0,2.252e-6,,
248.27,1.209e+0,1.209e+0,2.252e-6,,
248.29,1.384e-1,1.384e-1,2.250e-6,,
248.31,1.410e-2,1.410e-2,2.248e-6,,
248.32,4.305e-3,4.305e-3,2.247e-6,,
248.34,3.678e-4,3.678e-4,2.246e-6,,
248.36,2.795e-5,2.795e-5,2.244e-6,,
248.37,7.372e-6,7.372e-6,2.243e-6,,
248.39,4.699e-7,4.699e-7,2.241e-6,,
248.41,2.664e-8,2.664e-8,2.240e-6,,
248.75,3.092e-8,3.092e-8,2.211e-6,,
248.77,5.603e-7,5.603e-7,2.209e-6,,
248.78,2.284e-6,2.284e-6,2.208e-6,,
248.80,3.479e-5,3.479e-5,2.206e-6,,
248.82,4.719e-4,4.719e-4,2.205e-6,,
248.83,1.664e-3,1.664e-3,2.204e-6,,
248.85,1.897e-2,1.897e-2,2.202e-6,,
248.87,1.926e-1,1.926e-1,2.200e-6,,
248.88,5.876e-1,5.876e-1,2.199e-6,,
248.90,5.014e+0,5.014e+0,2.198e-6,,
248.92,3.810e+1,3.810e+1,2.196e-6,,
248.94,2.579e+2,2.579e+2,2.194e-6,,
248.95,6.423e+2,6.423e+2,2.193e-6,,
248.97,3.653e+3,3.653e+3,2.192e-6,,
248.99,1.851e+4,1.851e+4,2.190e-6,,
249.00,3.988e+4,3.988e+4,2.189e-6,,
249.02,1.698e+5,1.698e+5,2.187e-6,,
249.04,6.436e+5,6.436e+5,2.186e-6,,
249.05,1.200e+6,1.200e+6,2.185e-6,,
249.07,3.823e+6,3.823e+6,2.183e-6,,
249.09,1.085e+7,1.085e+7,2.181e-6,,
249.11,2.742e+7,2.742e+7,2.180e-6,,
249.12,4.174e+7,4.174e+7,2.179e-6,,
249.14,8.864e+7,8.864e+7,2.177e-6,,
249.16,1.677e+8,1.677e+8,2.176e-6,,
249.17,2.208e+8,2.208e+8,2.175e-6,,
249.19,3.510e+8,3.510e+8,2.173e-6,,
249.21,4.969e+8,4.969e+8,2.171e-6,,
249.22,5.661e+8,5.661e+8,2.170e-6,,
249.24,6.736e+8,6.736e+8,2.169e-6,,
249.26,7.138e+8,7.138e+8,2.167e-6,,
249.28,6.737e+8,6.737e+8,2.165e-6,,
249.29,6.268e+8,6.268e+8,2.164e-6,,
249.31,4.977e+8,4.977e+8,2.163e-6,,
249.33,3.534e+8,3.534e+8,2.161e-6,,
249.34,2.864e+8,2.864e+8,2.160e-6,,
249.36,1.777e+8,1.777e+8,2.158e-6,,
249.38,1.112e+8,1.112e+8,2.157e-6,,
249.39,9.415e+7,9.415e+7,2.156e-6,,
249.41,8.927e+7,8.927e+7,2.154e-6,,
249.43,1.168e+8,1.168e+8,2.152e-6,,
249.45,1.684e+8,1.684e+8,2.151e-6,,
249.46,2.007e+8,2.007e+8,2.150e-6,,
249.48,2.747e+8,2.747e+8,2.148e-6,,
249.50,3.614e+8,3.614e+8,2.146e-6,,
