Wavelength (nm),Sum(calc),Nd I (3.8e-3),Nd II (8.9e-1)
503.629,4.030e-5,,4.030e-5
503.637,6.791e-6,,6.791e-6
503.645,1.088e-6,,1.088e-6
503.653,1.657e-7,,1.657e-7
506.067,1.041e-7,,1.041e-7
506.075,6.813e-7,,6.813e-7
506.084,5.310e-6,,5.310e-6
506.092,3.124e-5,,3.124e-5
506.100,1.748e-4,,1.748e-4
506.108,9.309e-4,,9.309e-4
506.116,4.715e-3,,4.715e-3
506.124,2.272e-2,,2.272e-2
506.132,1.041e-1,,1.041e-1
506.140,4.542e-1,,4.542e-1
506.149,2.243e+0,,2.243e+0
506.157,8.796e+0,,8.796e+0
506.165,3.282e+1,,3.282e+1
506.173,1.165e+2,,1.165e+2
506.181,3.932e+2,,3.932e+2
506.189,1.263e+3,,1.263e+3
506.197,3.859e+3,,3.859e+3
506.205,1.122e+4,,1.122e+4
506.214,3.510e+4,,3.510e+4
506.222,9.176e+4,,9.176e+4
506.230,2.282e+5,,2.282e+5
506.238,5.399e+5,,5.399e+5
506.246,1.215e+6,,1.215e+6
506.254,2.601e+6,,2.601e+6
506.262,5.298e+6,,5.298e+6
506.270,1.027e+7,,1.027e+7
