Wavelength (nm),Sum(calc),Ni I (6.8e-2),Ni II (9.3e-1),Ni III (6.9e-4)
208.948,2.414e+5,8.355e-9,2.414e+5,
208.953,9.423e+5,8.342e-9,9.423e+5,
208.958,3.281e+6,8.329e-9,3.281e+6,
208.963,1.019e+7,8.316e-9,1.019e+7,
208.968,2.822e+7,8.303e-9,2.822e+7,
208.973,6.969e+7,8.290e-9,6.969e+7,
208.978,1.535e+8,8.276e-9,1.535e+8,
208.983,3.016e+8,8.263e-9,3.016e+8,
208.988,5.284e+8,8.250e-9,5.284e+8,
208.993,8.258e+8,8.237e-9,8.258e+8,
208.998,1.151e+9,8.224e-9,1.151e+9,
209.003,1.430e+9,8.210e-9,1.430e+9,
209.008,1.586e+9,8.197e-9,1.586e+9,
209.013,1.568e+9,8.184e-9,1.568e+9,
209.018,1.382e+9,8.171e-9,1.382e+9,
209.023,1.087e+9,8.158e-9,1.087e+9,
209.028,7.622e+8,8.144e-9,7.622e+8,
209.033,4.767e+8,8.131e-9,4.767e+8,
209.038,2.659e+8,8.118e-9,2.659e+8,
209.043,1.323e+8,8.105e-9,1.323e+8,
209.048,5.870e+7,8.092e-9,5.870e+7,
209.053,2.323e+7,8.078e-9,2.323e+7,
209.058,8.197e+6,8.065e-9,8.197e+6,
209.063,2.580e+6,8.052e-9,2.580e+6,
209.068,7.242e+5,8.039e-9,7.242e+5,
209.073,1.813e+5,8.026e-9,1.813e+5,
209.078,4.048e+4,8.012e-9,4.048e+4,
209.083,8.061e+3,7.999e-9,8.061e+3,
209.088,1.432e+3,7.986e-9,1.432e+3,
209.093,2.267e+2,7.973e-9,2.267e+2,
209.098,3.203e+1,7.960e-9,3.203e+1,
209.103,4.035e+0,7.946e-9,4.035e+0,
209.108,4.533e-1,7.933e-9,4.533e-1,
209.113,4.543e-2,7.920e-9,4.543e-2,
209.118,4.060e-3,7.907e-9,4.060e-3,
209.123,3.236e-4,7.894e-9,3.236e-4,
209.128,2.300e-5,7.880e-9,2.300e-5,
209.133,1.458e-6,7.867e-9,1.458e-6,
209.138,8.244e-8,7.854e-9,8.244e-8,
209.143,4.157e-9,7.841e-9,4.157e-9,
209.148,1.869e-10,7.828e-9,1.869e-10,
209.218,5.942e-10,7.643e-9,5.942e-10,
209.223,1.278e-8,7.630e-9,1.278e-8,
209.228,2.454e-7,7.616e-9,2.454e-7,
209.233,4.202e-6,7.603e-9,4.202e-6,
209.238,6.420e-5,7.590e-9,6.420e-5,
209.243,8.752e-4,7.577e-9,8.752e-4,
209.248,1.064e-2,7.564e-9,1.064e-2,
209.253,1.155e-1,7.551e-9,1.155e-1,
209.258,1.118e+0,7.537e-9,1.118e+0,
209.263,9.657e+0,7.524e-9,9.657e+0,
209.268,7.441e+1,7.511e-9,7.441e+1,
209.273,5.116e+2,7.498e-9,5.116e+2,
209.278,3.138e+3,7.485e-9,3.138e+3,
209.283,1.717e+4,7.471e-9,1.717e+4,
209.288,8.386e+4,7.458e-9,8.386e+4,
209.293,3.653e+5,7.445e-9,3.653e+5,
209.298,1.420e+6,7.432e-9,1.420e+6,
209.303,4.923e+6,7.419e-9,4.923e+6,
209.308,1.523e+7,7.405e-9,1.523e+7,
209.313,4.204e+7,7.392e-9,4.204e+7,
209.318,1.035e+8,7.379e-9,1.035e+8,
209.323,2.275e+8,7.366e-9,2.275e+8,
209.328,4.459e+8,7.353e-9,4.459e+8,
209.333,7.798e+8,7.339e-9,7.798e+8,
209.338,1.217e+9,7.326e-9,1.217e+9,
209.343,1.694e+9,7.313e-9,1.694e+9,
209.348,2.104e+9,7.300e-9,2.104e+9,
209.353,2.331e+9,7.287e-9,2.331e+9,
209.358,2.305e+9,7.273e-9,2.305e+9,
209.363,2.033e+9,7.260e-9,2.033e+9,
209.368,1.600e+9,7.247e-9,1.600e+9,
209.373,1.123e+9,7.234e-9,1.123e+9,
209.378,7.037e+8,7.221e-9,7.037e+8,
209.383,3.933e+8,7.207e-9,3.933e+8,
209.388,1.961e+8,7.194e-9,1.961e+8,
209.393,8.724e+7,7.181e-9,8.724e+7,
209.398,3.463e+7,7.168e-9,3.463e+7,
209.403,1.226e+7,7.155e-9,1.226e+7,
209.408,3.874e+6,7.141e-9,3.874e+6,
209.413,1.092e+6,7.128e-9,1.092e+6,
209.418,2.747e+5,7.115e-9,2.747e+5,
209.423,6.163e+4,7.102e-9,6.163e+4,
209.428,1.234e+4,7.089e-9,1.234e+4,
209.433,2.203e+3,7.075e-9,2.203e+3,
209.438,3.511e+2,7.062e-9,3.511e+2,
209.443,4.992e+1,7.049e-9,4.992e+1,
209.448,6.332e+0,7.036e-9,6.332e+0,
209.453,7.165e-1,7.023e-9,7.165e-1,
209.458,7.235e-2,7.009e-9,7.235e-2,
209.463,6.517e-3,6.996e-9,6.517e-3,
209.468,5.238e-4,6.983e-9,5.238e-4,
209.473,3.756e-5,6.970e-9,3.756e-5,
209.478,2.403e-6,6.957e-9,2.403e-6,
209.483,1.371e-7,6.943e-9,1.371e-7,
209.488,6.983e-9,6.930e-9,6.983e-9,
209.493,3.173e-10,6.917e-9,3.173e-10,
212.001,2.978e-10,2.978e-10,2.036e-10,
212.006,6.046e-9,6.046e-9,2.033e-10,
212.011,1.099e-7,1.099e-7,2.031e-10,
212.016,1.786e-6,1.786e-6,2.029e-10,
212.021,2.599e-5,2.599e-5,2.027e-10,
212.026,3.384e-4,3.384e-4,2.024e-10,
212.031,3.943e-3,3.943e-3,2.022e-10,
212.036,4.111e-2,4.111e-2,2.020e-10,
212.041,3.835e-1,3.835e-1,2.018e-10,
212.046,3.202e+0,3.202e+0,2.015e-10,
212.051,2.392e+1,2.392e+1,2.013e-10,
212.056,1.599e+2,1.599e+2,2.011e-10,
212.061,9.566e+2,9.566e+2,2.009e-10,
212.066,5.121e+3,5.121e+3,2.006e-10,
212.071,2.453e+4,2.453e+4,2.004e-10,
212.076,1.051e+5,1.051e+5,2.002e-10,
212.081,4.033e+5,4.033e+5,1.999e-10,
212.086,1.384e+6,1.384e+6,1.997e-10,
212.091,4.252e+6,4.252e+6,1.995e-10,
212.096,1.169e+7,1.169e+7,1.993e-10,
212.101,2.874e+7,2.874e+7,1.990e-10,
212.106,6.325e+7,6.325e+7,1.988e-10,
212.111,1.246e+8,1.246e+8,1.986e-10,
212.116,2.195e+8,2.195e+8,1.984e-10,
212.121,3.462e+8,3.462e+8,1.981e-10,
212.126,4.885e+8,4.885e+8,1.979e-10,
212.131,6.169e+8,6.169e+8,1.977e-10,
212.136,6.971e+8,6.971e+8,1.975e-10,
212.141,7.049e+8,7.049e+8,1.972e-10,
212.146,6.378e+8,6.378e+8,1.970e-10,
212.151,5.165e+8,5.165e+8,1.968e-10,
212.156,3.742e+8,3.742e+8,1.965e-10,
212.161,2.426e+8,2.426e+8,1.963e-10,
212.166,1.408e+8,1.408e+8,1.961e-10,
212.171,7.308e+7,7.308e+7,1.959e-10,
212.176,3.395e+7,3.395e+7,1.956e-10,
212.181,1.411e+7,1.411e+7,1.954e-10,
212.186,5.251e+6,5.251e+6,1.952e-10,
212.191,1.748e+6,1.748e+6,1.950e-10,
212.196,5.207e+5,5.207e+5,1.947e-10,
212.201,1.388e+5,1.388e+5,1.945e-10,
212.206,3.311e+4,3.311e+4,1.943e-10,
212.211,7.067e+3,7.067e+3,1.941e-10,
212.216,1.350e+3,1.350e+3,1.938e-10,
212.221,2.307e+2,2.307e+2,1.936e-10,
212.226,3.529e+1,3.529e+1,1.934e-10,
212.231,4.830e+0,4.830e+0,1.931e-10,
