Wavelength (nm),Sum(calc),Mn I (3.3e-2),Mn II (9.6e-1)
211.902,4.708e+6,,4.708e+6
211.907,1.135e+7,,1.135e+7
211.912,2.453e+7,,2.453e+7
211.917,4.754e+7,,4.754e+7
211.922,8.286e+7,,8.286e+7
211.927,1.306e+8,,1.306e+8
211.932,1.881e+8,,1.881e+8
211.937,2.523e+8,,2.523e+8
211.942,3.247e+8,,3.247e+8
211.947,4.156e+8,,4.156e+8
211.952,5.419e+8,,5.419e+8
211.957,7.164e+8,,7.164e+8
211.962,9.318e+8,,9.318e+8
211.967,1.151e+9,,1.151e+9
211.972,1.315e+9,,1.315e+9
211.977,1.367e+9,,1.367e+9
211.982,1.283e+9,,1.283e+9
211.987,1.081e+9,,1.081e+9
211.992,8.172e+8,,8.172e+8
211.997,5.531e+8,,5.531e+8
212.002,3.351e+8,,3.351e+8
212.007,1.817e+8,,1.817e+8
212.012,8.812e+7,,8.812e+7
212.017,3.825e+7,,3.825e+7
212.022,1.485e+7,,1.485e+7
212.027,5.161e+6,,5.161e+6
212.032,1.604e+6,,1.604e+6
212.037,4.463e+5,,4.463e+5
212.042,1.111e+5,,1.111e+5
212.047,2.472e+4,,2.472e+4
212.052,4.925e+3,,4.925e+3
212.057,8.777e+2,,8.777e+2
212.062,1.400e+2,,1.400e+2
212.067,1.997e+1,,1.997e+1
212.072,2.549e+0,,2.549e+0
212.077,2.910e-1,,2.910e-1
212.082,2.974e-2,,2.974e-2
212.087,2.718e-3,,2.718e-3
212.092,2.223e-4,,2.223e-4
212.097,1.627e-5,,1.627e-5
212.102,1.065e-6,,1.065e-6
212.107,6.238e-8,,6.238e-8
212.112,3.269e-9,,3.269e-9
212.117,1.533e-10,,1.533e-10
213.200,5.004e-12,,5.004e-12
213.205,1.171e-10,,1.171e-10
213.210,2.455e-9,,2.455e-9
213.215,4.611e-8,,4.611e-8
213.220,7.761e-7,,7.761e-7
213.225,1.170e-5,,1.170e-5
213.230,1.581e-4,,1.581e-4
213.235,1.914e-3,,1.914e-3
213.240,2.076e-2,,2.076e-2
213.245,2.017e-1,,2.017e-1
213.250,1.756e+0,,1.756e+0
213.255,1.370e+1,,1.370e+1
213.260,9.574e+1,,9.574e+1
213.265,5.995e+2,,5.995e+2
213.270,3.364e+3,,3.364e+3
213.275,1.691e+4,,1.691e+4
213.280,7.616e+4,,7.616e+4
213.285,3.073e+5,,3.073e+5
213.290,1.111e+6,,1.111e+6
213.295,3.600e+6,,3.600e+6
213.300,1.045e+7,,1.045e+7
213.305,2.717e+7,,2.717e+7
213.310,6.330e+7,,6.330e+7
213.315,1.321e+8,,1.321e+8
213.320,2.472e+8,,2.472e+8
213.325,4.142e+8,,4.142e+8
213.330,6.219e+8,,6.219e+8
213.335,8.367e+8,,8.367e+8
213.340,1.008e+9,,1.008e+9
213.345,1.089e+9,,1.089e+9
213.350,1.054e+9,,1.054e+9
213.355,9.135e+8,,9.135e+8
213.360,7.096e+8,,7.096e+8
213.365,4.938e+8,,4.938e+8
213.370,3.079e+8,,3.079e+8
213.375,1.720e+8,,1.720e+8
213.380,8.610e+7,,8.610e+7
213.385,3.861e+7,,3.861e+7
213.390,1.552e+7,,1.552e+7
213.395,5.586e+6,,5.586e+6
213.400,1.802e+6,,1.802e+6
213.405,5.207e+5,,5.207e+5
213.410,1.348e+5,,1.348e+5
213.415,3.128e+4,,3.128e+4
213.420,6.502e+3,,6.502e+3
213.425,1.211e+3,,1.211e+3
213.430,2.021e+2,,2.021e+2
213.435,3.021e+1,,3.021e+1
213.440,4.047e+0,,4.047e+0
213.445,4.857e-1,,4.857e-1
213.450,5.223e-2,,5.223e-2
213.455,5.032e-3,,5.032e-3
213.460,4.344e-4,,4.344e-4
213.465,3.359e-5,,3.359e-5
213.470,2.328e-6,,2.328e-6
213.475,1.445e-7,,1.445e-7
213.480,8.040e-9,,8.040e-9
213.485,4.007e-10,,4.007e-10
213.490,1.789e-11,,1.789e-11
222.844,4.156e-11,,4.156e-11
222.849,8.264e-10,,8.264e-10
222.854,1.455e-8,,1.455e-8
222.859,2.319e-7,,2.319e-7
222.864,3.344e-6,,3.344e-6
222.869,4.361e-5,,4.361e-5
222.874,5.147e-4,,5.147e-4
222.879,5.496e-3,,5.496e-3
222.884,5.311e-2,,5.311e-2
222.889,4.645e-1,,4.645e-1
222.894,3.677e+0,,3.677e+0
222.899,2.634e+1,,2.634e+1
222.904,1.709e+2,,1.709e+2
222.909,1.003e+3,,1.003e+3
222.914,5.334e+3,,5.334e+3
222.919,2.568e+4,,2.568e+4
222.924,1.120e+5,,1.120e+5
222.929,4.422e+5,,4.422e+5
222.934,1.582e+6,,1.582e+6
222.939,5.130e+6,,5.130e+6
222.944,1.507e+7,,1.507e+7
222.949,4.013e+7,,4.013e+7
222.954,9.688e+7,,9.688e+7
222.959,2.120e+8,,2.120e+8
222.964,4.209e+8,,4.209e+8
222.969,7.576e+8,,7.576e+8
222.974,1.237e+9,,1.237e+9
222.979,1.833e+9,,1.833e+9
222.984,2.464e+9,,2.464e+9
222.989,3.005e+9,,3.005e+9
222.994,3.327e+9,,3.327e+9
222.999,3.343e+9,,3.343e+9
223.004,3.049e+9,,3.049e+9
223.009,2.523e+9,,2.523e+9
223.014,1.896e+9,,1.896e+9
223.019,1.292e+9,,1.292e+9
223.024,7.998e+8,,7.998e+8
223.029,4.491e+8,,4.491e+8
223.034,2.288e+8,,2.288e+8
223.039,1.058e+8,,1.058e+8
223.044,4.434e+7,,4.434e+7
223.049,1.686e+7,,1.686e+7
223.054,5.815e+6,,5.815e+6
223.059,1.818e+6,,1.818e+6
223.064,5.154e+5,,5.154e+5
223.069,1.324e+5,,1.324e+5
223.074,3.088e+4,,3.088e+4
223.079,6.849e+3,,6.849e+3
223.084,3.137e+3,,3.137e+3
223.089,9.563e+3,,9.563e+3
223.094,4.176e+4,,4.176e+4
223.099,1.684e+5,,1.684e+5
223.104,6.150e+5,,6.150e+5
223.109,2.031e+6,,2.031e+6
223.114,6.067e+6,,6.067e+6
223.119,1.639e+7,,1.639e+7
223.124,4.006e+7,,4.006e+7
223.129,8.854e+7,,8.854e+7
223.134,1.770e+8,,1.770e+8
223.139,3.201e+8,,3.201e+8
223.144,5.235e+8,,5.235e+8
223.149,7.744e+8,,7.744e+8
223.154,1.036e+9,,1.036e+9
223.159,1.254e+9,,1.254e+9
223.164,1.372e+9,,1.372e+9
223.169,1.359e+9,,1.359e+9
223.174,1.217e+9,,1.217e+9
223.179,9.853e+8,,9.853e+8
223.184,7.218e+8,,7.218e+8
223.189,4.782e+8,,4.782e+8
223.194,2.866e+8,,2.866e+8
223.199,1.554e+8,,1.554e+8
223.204,7.616e+7,,7.616e+7
223.209,3.377e+7,,3.377e+7
223.214,1.355e+7,,1.355e+7
223.219,4.914e+6,,4.914e+6
223.224,1.612e+6,,1.612e+6
223.229,4.785e+5,,4.785e+5
223.234,1.284e+5,,1.284e+5
223.239,3.118e+4,,3.118e+4
223.244,6.848e+3,,6.848e+3
223.249,1.360e+3,,1.360e+3
223.254,2.443e+2,,2.443e+2
223.259,3.970e+1,,3.970e+1
223.264,5.835e+0,,5.835e+0
223.269,7.756e-1,,7.756e-1
223.274,9.325e-2,,9.325e-2
223.279,1.014e-2,,1.014e-2
223.284,9.974e-4,,9.974e-4
223.289,8.873e-5,,8.873e-5
223.294,7.140e-6,,7.140e-6
