Wavelength (nm),Au I
584.84,2.483e-7
584.86,7.686e-8
584.88,2.329e-8
584.90,6.911e-9
584.91,3.735e-9
584.93,1.074e-9
584.95,3.022e-10
584.97,8.327e-11
584.98,4.337e-11
585.00,1.158e-11
585.02,3.026e-12
585.04,7.745e-13
