Wavelength (nm),Au I
481.13,9.798e+7
481.15,1.027e+8
481.17,1.043e+8
481.18,1.039e+8
481.20,1.007e+8
481.22,9.461e+7
481.24,8.618e+7
481.25,8.130e+7
481.27,7.068e+7
481.29,5.957e+7
481.31,4.867e+7
481.32,4.348e+7
481.34,3.390e+7
481.36,2.563e+7
481.38,1.878e+7
481.39,1.589e+7
481.41,1.111e+7
481.43,7.531e+6
481.45,4.949e+6
481.47,3.153e+6
481.48,2.487e+6
481.50,1.512e+6
481.52,8.913e+5
481.54,5.092e+5
481.55,3.805e+5
481.57,2.075e+5
481.59,1.097e+5
481.61,5.619e+4
481.62,3.976e+4
481.64,1.944e+4
481.66,9.218e+3
481.68,4.237e+3
481.69,2.839e+3
481.71,1.245e+3
481.73,5.294e+2
481.75,2.182e+2
481.76,1.385e+2
481.78,5.447e+1
481.80,2.077e+1
481.82,7.679e+0
481.83,4.615e+0
481.85,1.628e+0
481.87,5.569e-1
481.89,1.846e-1
481.90,1.051e-1
481.92,3.325e-2
481.94,1.020e-2
481.96,3.033e-3
481.97,1.634e-3
481.99,4.639e-4
482.01,1.276e-4
482.03,3.403e-5
482.05,8.798e-6
482.06,4.421e-6
482.08,1.091e-6
482.10,2.609e-7
482.12,6.050e-8
482.13,2.879e-8
482.15,6.371e-9
482.17,1.367e-9
482.19,2.842e-10
482.20,1.281e-10
482.22,2.542e-11
482.24,4.891e-12
482.26,9.122e-13
582.43,3.845e-12
582.45,1.518e-11
582.47,5.871e-11
582.48,1.145e-10
582.50,4.290e-10
582.52,1.573e-9
582.54,5.649e-9
582.55,1.062e-8
582.57,3.695e-8
582.59,1.258e-7
582.61,4.196e-7
582.62,7.603e-7
582.64,2.456e-6
582.66,7.770e-6
582.68,2.406e-5
582.69,4.201e-5
582.71,1.261e-4
582.73,3.703e-4
582.75,1.065e-3
582.76,1.792e-3
582.78,4.994e-3
582.80,1.362e-2
582.82,3.640e-2
582.83,5.901e-2
582.85,1.527e-1
582.87,3.870e-1
582.89,9.600e-1
582.90,1.500e+0
582.92,3.605e+0
582.94,8.484e+0
582.96,1.955e+1
582.98,4.409e+1
582.99,6.570e+1
583.01,1.436e+2
583.03,3.072e+2
583.05,6.437e+2
583.06,9.243e+2
583.08,1.876e+3
583.10,3.728e+3
583.12,7.253e+3
583.13,1.004e+4
583.15,1.892e+4
583.17,3.492e+4
583.19,6.309e+4
583.20,8.414e+4
583.22,1.473e+5
583.24,2.525e+5
583.26,4.237e+5
583.27,5.445e+5
583.29,8.852e+5
583.31,1.409e+6
583.33,2.196e+6
583.34,2.720e+6
583.36,4.107e+6
583.38,6.071e+6
583.40,8.788e+6
583.41,1.049e+7
583.43,1.471e+7
583.45,2.019e+7
583.47,2.714e+7
583.48,3.122e+7
583.50,4.066e+7
583.52,5.184e+7
583.54,6.472e+7
583.56,7.911e+7
583.57,8.677e+7
583.59,1.028e+8
583.61,1.191e+8
583.63,1.352e+8
583.64,1.429e+8
583.66,1.572e+8
583.68,1.693e+8
583.70,1.785e+8
583.71,1.818e+8
583.73,1.857e+8
583.75,1.857e+8
583.77,1.818e+8
583.78,1.785e+8
583.80,1.693e+8
583.82,1.572e+8
583.84,1.429e+8
583.85,1.352e+8
583.87,1.191e+8
583.89,1.028e+8
583.91,8.677e+7
583.92,7.911e+7
583.94,6.472e+7
583.96,5.184e+7
583.98,4.066e+7
583.99,3.572e+7
584.01,2.714e+7
584.03,2.019e+7
584.05,1.471e+7
584.06,1.245e+7
584.08,8.788e+6
584.10,6.071e+6
584.12,4.107e+6
584.14,2.720e+6
584.15,2.196e+6
584.17,1.409e+6
584.19,8.852e+5
584.21,5.445e+5
584.22,4.237e+5
584.24,2.525e+5
584.26,1.473e+5
584.28,8.414e+4
584.29,6.309e+4
584.31,3.492e+4
584.33,1.892e+4
584.35,1.004e+4
584.36,7.253e+3
584.38,3.728e+3
584.40,1.876e+3
584.42,9.243e+2
584.43,6.437e+2
584.45,3.072e+2
584.47,1.436e+2
584.49,6.570e+1
584.50,4.409e+1
584.52,1.955e+1
584.54,8.484e+0
584.56,3.605e+0
584.57,2.332e+0
584.59,9.600e-1
584.61,3.870e-1
584.63,1.527e-1
584.65,5.901e-2
584.66,3.640e-2
584.68,1.362e-2
584.70,4.994e-3
584.72,1.792e-3
584.73,1.065e-3
584.75,3.703e-4
584.77,1.261e-4
584.79,4.201e-5
584.80,2.406e-5
584.82,7.770e-6
584.84,2.456e-6
584.86,7.603e-7
584.87,4.196e-7
584.89,1.258e-7
584.91,3.695e-8
584.93,1.062e-8
584.94,5.649e-9
584.96,1.573e-9
584.98,4.290e-10
585.00,1.145e-10
585.01,5.871e-11
585.03,1.518e-11
585.05,3.845e-12
