Wavelength (nm),Sum(calc),Cu I (3.0e-1),Cu II (7.0e-1)
206.40,8.820e+2,1.439e-7,8.820e+2
206.41,4.423e+2,1.438e-7,4.423e+2
206.43,1.216e+2,1.435e-7,1.216e+2
206.45,1.473e+2,1.432e-7,1.473e+2
206.46,2.784e+2,1.431e-7,2.784e+2
206.48,1.047e+3,1.428e-7,1.047e+3
206.50,3.405e+3,1.425e-7,3.405e+3
206.51,5.767e+3,1.423e-7,5.767e+3
206.53,1.458e+4,1.421e-7,1.458e+4
206.55,3.114e+4,1.418e-7,3.114e+4
206.56,4.272e+4,1.416e-7,4.272e+4
206.58,7.085e+4,1.413e-7,7.085e+4
206.60,9.927e+4,1.410e-7,9.927e+4
206.61,1.103e+5,1.409e-7,1.103e+5
206.63,1.200e+5,1.406e-7,1.200e+5
206.65,1.103e+5,1.403e-7,1.103e+5
206.66,9.927e+4,1.402e-7,9.927e+4
206.68,7.085e+4,1.399e-7,7.085e+4
206.70,4.272e+4,1.396e-7,4.272e+4
206.71,3.114e+4,1.395e-7,3.114e+4
206.73,1.458e+4,1.392e-7,1.458e+4
206.75,5.767e+3,1.389e-7,5.767e+3
206.76,3.405e+3,1.387e-7,3.405e+3
206.78,1.049e+3,1.385e-7,1.049e+3
206.79,5.510e+2,1.383e-7,5.510e+2
206.81,1.643e+2,1.380e-7,1.643e+2
206.83,1.706e+2,1.377e-7,1.706e+2
206.84,2.880e+2,1.376e-7,2.880e+2
206.86,8.998e+2,1.373e-7,8.998e+2
206.88,2.462e+3,1.370e-7,2.462e+3
206.89,3.826e+3,1.369e-7,3.826e+3
206.91,8.151e+3,1.366e-7,8.151e+3
206.93,1.468e+4,1.363e-7,1.468e+4
206.94,1.849e+4,1.361e-7,1.849e+4
206.96,2.588e+4,1.359e-7,2.588e+4
206.98,3.061e+4,1.356e-7,3.061e+4
206.99,3.126e+4,1.354e-7,3.126e+4
207.01,2.874e+4,1.351e-7,2.874e+4
207.03,2.234e+4,1.348e-7,2.234e+4
207.04,1.849e+4,1.347e-7,1.849e+4
207.06,1.117e+4,1.344e-7,1.117e+4
207.08,5.703e+3,1.341e-7,5.703e+3
207.09,3.826e+3,1.340e-7,3.826e+3
207.11,1.518e+3,1.337e-7,1.518e+3
207.13,5.094e+2,1.334e-7,5.094e+2
207.14,2.770e+2,1.333e-7,2.770e+2
207.16,7.222e+1,1.330e-7,7.222e+1
207.18,1.592e+1,1.327e-7,1.592e+1
207.19,7.015e+0,1.325e-7,7.015e+0
207.21,1.202e+0,1.322e-7,1.202e+0
207.23,1.740e-1,1.320e-7,1.740e-1
